gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,RevenueRisk,PredictedChurn
1,1,1,0,61,1,2,2,1,1,1,1,1,1,2,0,0,25.0,1501.75,1525.0,0
0,0,0,0,19,1,2,2,1,1,1,1,1,1,0,0,0,24.7,465.85,469.3,0
1,0,1,0,13,1,2,1,0,0,2,0,2,2,0,1,1,102.25,1359.0,1329.25,1
1,0,1,0,37,1,2,0,2,0,0,0,0,0,0,1,3,55.05,2030.75,2036.85,0
0,0,0,0,6,0,1,0,2,0,0,0,0,0,0,0,0,29.45,161.45,176.7,0
1,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,1,29.8,94.4,89.4,1
1,1,1,1,52,1,2,0,0,2,2,0,2,2,1,1,2,80.85,4079.55,4204.2,0
0,1,0,0,15,1,0,1,0,0,0,0,2,2,0,1,2,91.5,1400.3,1372.5,1
0,0,0,0,26,1,2,0,2,2,0,0,2,0,0,1,0,69.5,1800.05,1807.0,0
1,0,1,0,66,1,2,0,2,2,0,2,2,2,2,0,2,85.25,5538.35,5626.5,0
1,0,0,0,4,1,0,1,0,0,2,0,0,2,0,0,2,86.05,308.1,344.2,0
1,0,1,0,8,1,0,1,2,0,0,0,0,0,0,0,2,75.0,632.95,600.0,0
1,0,0,0,48,1,0,2,1,1,1,1,1,1,2,0,1,20.15,982.95,967.1999999999999,0
0,0,0,1,10,1,2,0,2,0,2,2,0,2,1,0,1,73.55,693.3,735.5,0
0,0,0,0,64,1,2,1,2,2,2,2,2,2,2,1,0,115.1,7334.05,7366.4,0
1,0,0,0,22,1,0,1,0,2,0,0,2,2,0,1,3,93.2,2157.3,2050.4,0
1,1,0,0,1,1,2,1,0,0,0,0,2,2,0,1,2,93.55,93.55,93.55,1
1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,3260.1,3386.85,0
1,0,0,1,22,1,0,1,0,2,2,0,2,0,0,1,2,89.4,2001.5,1966.8000000000002,0
1,0,1,0,65,1,2,1,0,2,0,0,2,0,0,1,0,91.85,5940.85,5970.25,0
1,0,1,1,34,0,1,0,2,0,0,0,0,0,1,0,0,30.4,938.65,1033.6,0
0,0,1,0,72,1,0,2,1,1,1,1,1,1,2,0,0,20.05,1423.65,1443.6000000000001,0
1,0,0,0,5,1,0,0,0,2,0,0,0,0,0,1,2,51.35,262.3,256.75,1
1,1,1,0,46,1,2,1,0,0,2,0,2,2,0,1,2,98.85,4564.9,4547.099999999999,1
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.15,123.8,140.3,0
1,0,1,1,37,1,0,0,2,0,2,2,0,0,1,1,3,58.75,2203.1,2173.75,0
0,0,0,0,33,1,2,2,1,1,1,1,1,1,2,0,1,25.7,826.1,848.1,0
0,0,0,1,16,1,0,2,1,1,1,1,1,1,1,1,0,19.3,360.35,308.8,0
1,0,0,0,6,1,2,1,0,0,0,0,0,0,0,1,2,74.9,469.8,449.40000000000003,1
0,0,1,1,13,1,0,0,0,0,0,0,0,2,0,0,2,55.95,734.35,727.35,0
1,0,1,0,47,1,2,1,0,0,0,0,2,2,1,1,1,95.2,4563.0,4474.400000000001,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.5,69.5,69.5,1
1,0,1,1,39,1,0,0,2,0,2,2,2,2,1,0,1,80.0,3182.95,3120.0,0
1,1,1,0,63,1,2,1,2,2,2,0,2,2,2,0,1,108.5,6991.9,6835.5,0
0,0,0,0,10,1,0,2,1,1,1,1,1,1,0,0,3,18.85,163.2,188.5,0
1,0,0,0,10,1,2,2,1,1,1,1,1,1,0,1,2,24.0,226.55,240.0,0
0,0,0,0,18,1,2,1,0,0,2,2,0,2,0,1,0,95.05,1679.4,1710.8999999999999,0
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,49.8,49.8,49.8,0
1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,56.6,3789.2,3735.6,0
1,1,0,0,69,1,0,2,1,1,1,1,1,1,2,0,1,20.3,1356.3,1400.7,0
1,0,0,0,3,1,0,0,0,0,0,2,2,2,0,1,2,69.35,191.35,208.04999999999998,0
0,0,0,0,68,1,0,2,1,1,1,1,1,1,2,0,1,19.6,1441.65,1332.8000000000002,0
1,0,1,1,6,1,0,2,1,1,1,1,1,1,1,0,3,19.45,113.5,116.69999999999999,0
1,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,0,19.85,1434.1,1429.2,0
0,1,1,0,58,1,2,1,0,0,0,2,2,2,0,1,0,100.4,5749.8,5823.200000000001,0
0,0,1,1,45,1,2,1,2,2,0,0,2,2,0,1,2,105.15,4730.9,4731.75,0
1,0,1,1,68,1,2,1,2,2,2,0,2,2,2,1,2,110.2,7467.5,7493.6,0
1,0,1,1,32,1,2,1,2,0,0,0,2,2,0,1,1,99.55,3204.65,3185.6,0
1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.9,74.9,74.9,1
1,0,0,0,9,1,0,1,0,0,0,0,0,0,0,1,2,70.5,597.9,634.5,0
